
=== TRAINING ===
  run            D:\projects\RPPG\results\v3_pearson_selr
  model          v3 (167,562 params)
  device         cpu  (threads 8)
  train windows  1754 total (stride 30), 400 per epoch
  val windows    71 (stride 150)
  normalize      temporal   augment True
  loss pearson  optimizer adamw  lr 0.001  wd 0.01  batch 4
  scheduler cosine (warmup 3 ep)  grad clip 1.0
  epochs 40  patience 40  select on val_pearson

Epoch 013/40 | train 0.1716 | val MSE 0.3347  r 0.824  HR MAE 0.88 bpm  amp 0.83 | lr 8.3e-04 | 3.3 min
Epoch 014/40 | train 0.1673 | val MSE 0.3169  r 0.835  HR MAE 0.79 bpm  amp 0.84 | lr 8.0e-04 | 3.2 min
Epoch 015/40 | train 0.1636 | val MSE 0.3004  r 0.849  HR MAE 0.81 bpm  amp 0.88 | lr 7.7e-04 | 3.2 min
Epoch 016/40 | train 0.1644 | val MSE 0.2971  r 0.844  HR MAE 0.79 bpm  amp 0.85 | lr 7.3e-04 | 2.2 min
Epoch 017/40 | train 0.1521 | val MSE 0.4122  r 0.771  HR MAE 0.84 bpm  amp 0.80 | lr 6.9e-04 | 1.8 min
Epoch 018/40 | train 0.1607 | val MSE 0.3140  r 0.833  HR MAE 1.11 bpm  amp 0.83 | lr 6.5e-04 | 1.8 min
Epoch 019/40 | train 0.1491 | val MSE 0.3103  r 0.835  HR MAE 0.86 bpm  amp 0.85 | lr 6.1e-04 | 1.8 min
Epoch 020/40 | train 0.1454 | val MSE 0.2976  r 0.844  HR MAE 0.90 bpm  amp 0.86 | lr 5.7e-04 | 2.0 min
Epoch 021/40 | train 0.1447 | val MSE 0.3457  r 0.811  HR MAE 0.81 bpm  amp 0.83 | lr 5.3e-04 | 2.1 min
Epoch 022/40 | train 0.1482 | val MSE 0.3802  r 0.787  HR MAE 0.90 bpm  amp 0.79 | lr 4.9e-04 | 2.2 min
Epoch 023/40 | train 0.1422 | val MSE 0.3517  r 0.808  HR MAE 0.90 bpm  amp 0.81 | lr 4.5e-04 | 2.1 min
Epoch 024/40 | train 0.1391 | val MSE 0.3254  r 0.825  HR MAE 0.88 bpm  amp 0.81 | lr 4.1e-04 | 2.2 min
Epoch 025/40 | train 0.1386 | val MSE 0.3018  r 0.844  HR MAE 0.94 bpm  amp 0.86 | lr 3.7e-04 | 2.2 min
Epoch 026/40 | train 0.1374 | val MSE 0.3085  r 0.839  HR MAE 0.98 bpm  amp 0.86 | lr 3.3e-04 | 2.1 min
Epoch 027/40 | train 0.1321 | val MSE 0.2767  r 0.856  HR MAE 0.84 bpm  amp 0.84 | lr 2.9e-04 | 2.1 min  * best
Epoch 028/40 | train 0.1369 | val MSE 0.3098  r 0.836  HR MAE 0.98 bpm  amp 0.85 | lr 2.5e-04 | 2.1 min
Epoch 029/40 | train 0.1308 | val MSE 0.3319  r 0.822  HR MAE 1.04 bpm  amp 0.86 | lr 2.2e-04 | 2.1 min
Epoch 030/40 | train 0.1281 | val MSE 0.3389  r 0.816  HR MAE 0.96 bpm  amp 0.83 | lr 1.9e-04 | 2.1 min
Epoch 031/40 | train 0.1382 | val MSE 0.3025  r 0.840  HR MAE 0.90 bpm  amp 0.83 | lr 1.6e-04 | 2.1 min
Epoch 032/40 | train 0.1208 | val MSE 0.3198  r 0.829  HR MAE 0.94 bpm  amp 0.81 | lr 1.3e-04 | 2.2 min
Epoch 033/40 | train 0.1272 | val MSE 0.3113  r 0.835  HR MAE 0.88 bpm  amp 0.82 | lr 1.0e-04 | 2.1 min
Epoch 034/40 | train 0.1284 | val MSE 0.3289  r 0.823  HR MAE 0.88 bpm  amp 0.81 | lr 8.2e-05 | 2.2 min
Epoch 035/40 | train 0.1212 | val MSE 0.3199  r 0.829  HR MAE 0.96 bpm  amp 0.82 | lr 6.3e-05 | 2.1 min
Epoch 036/40 | train 0.1139 | val MSE 0.3065  r 0.838  HR MAE 0.88 bpm  amp 0.84 | lr 4.8e-05 | 2.2 min
Epoch 037/40 | train 0.1247 | val MSE 0.3159  r 0.832  HR MAE 0.96 bpm  amp 0.82 | lr 3.6e-05 | 2.1 min
Epoch 038/40 | train 0.1176 | val MSE 0.3219  r 0.828  HR MAE 0.90 bpm  amp 0.83 | lr 2.7e-05 | 2.1 min
Epoch 039/40 | train 0.1183 | val MSE 0.3212  r 0.828  HR MAE 0.90 bpm  amp 0.82 | lr 2.2e-05 | 2.1 min
Epoch 040/40 | train 0.1180 | val MSE 0.3178  r 0.830  HR MAE 0.90 bpm  amp 0.83 | lr 2.0e-05 | 2.2 min

Best val_pearson: 0.8558  ->  D:\projects\RPPG\results\v3_pearson_selr\best.pth
exit=0
